D-F17034	5900
D-Z42599	3000
D-Y137766	1850
D-BY71734	2300
D-Y14736	2500
D-Y226081	2500
D-Y208365	2500
D-F16918	2100
D-MF14352	1800
D-F15403	500
D-F19503	1600
D-F17036	1350
D-Y208270	1300
D-Y208318	1150
D-Y14813	1500
D-FTB33061	50
D-Z34359	1250
D-BZ2985	1100
D-F901	33900
D-F1070	12500
D-BY12793	11400
D-MF61290	2500
D-Y137845	3300
D-ACT2180	2800
D-MF2333	2500
D-MF2341	2500
D-Y125730	2500
D-MF136221	800
D-Y125714	2500
D-Y137827	2000
D-N1	16700
D-F1031	10300
D-FT338928	4200
D-Z31599	3100
D-F3401	3600
D-F19133	3500
D-Y208469	2800
D-Y28900	10400
D-PH4979	10400
D-PH1991	9300
D-F17412	6000
D-Y327122	5000
D-ACT4367	3700
D-F20424	3700
D-F22360	3700
D-F20573	2500
D-F14985	2200
D-Y141552	2200
D-MF618315	50
D-MF10280	3700
D-Y67357	6000
D-Y62194	4500
D-F17409	3700
D-ACT7060	3400
D-Y162003	3200
D-FTA16029	3000
D-Y161855	1550
D-Y161869	50
D-Y351912	50
D-Y62517	3700
D-F16077	1650
D-Y126660	1650
D-Y315257	1500
D-Y69263	3700
D-Y161914	3700
D-Y61759	550
E	52300
E-M75	36900
E-M41	15500
E-Y231455	11800
E-Y231457	3400
E-M250	5300
E-Y25335	5000
E-BY49208	5200
E-Y146924	4400
E-FT2066	2400
E-BY227018	3900
E-FT179549	3000
E-Y515416	1750
E-Y146913	4400
E-Y146952	4400
E-Y146908	375
E-M98	16900
E-CTS1307	13100
E-CTS9180	13100
E-FTE400	2300
E-Y509637	200
E-M90	12700
E-CTS42	8600
E-Y648953	5400
E-CTS694	7400
E-Y25286	6000
E-CTS8409	5800
E-BY62766	1550
E-BY66578	1350
E-BY71273	1100
E-MF41781	950
E-Y25287	4500
E-CTS3583	3900
E-M200	2500
E-Y203583	650
E-Y203585	500
E-CTS10078	1600
E-CTS8392	1550
E-CTS2629	1550
E-Y25288	1500
E-BY36751	3000
E-Y188803	2400
E-FT21635	3000
E-FT109520	1750
E-Y278065	950
E-Y618166	3000
E-BY70915	2300
E-FT251291	2100
E-Y86760	2200
E-A12837	1800
E-Y208843	2200
E-BY69129	1600
E-FT18756	500
E-FT19996	375
E-FT20290	250
E-M5479	51100
E-FTA45776	35100
E-FTA9378	35100
E-P147	51100
E-M132	19600
E-M44	4100
E-Y63256	1050
E-Y15944	4100
E-Z17699	2900
E-A7710	2800
E-Y30945	850
E-Z38881	2300
E-Z17697	750
E-Y80883	650
E-Y301717	350
E-Y301892	50
E-FTC3316	375
E-Y32594	350
E-Y35994	300
E-Z17467	4100
E-Y188588	2800
E-Y343236	1950
E-Y343245	700
E-Z20646	2000
E-FT118722	1500
E-Y20285	1050
E-FT164947	850
E-Y17373	2600
E-Z31503	500
E-BY4136	400
E-BY4135	175
E-A6108	500
E-FGC67854	225
E-A10162	225
E-FT363951	4100
E-Y434619	3300
E-Y434683	50
E-Z20650	4100
